5,Сертификат ТР Пожарная безопасность Cerberus PRO,13.11.2019,"CH,GB,CN,FR,DE,IT,TW,SE,CZ,FI,SK,PH,TR",Сертификат_ТР Пож. без-ть_Cerberus Pro_2014.pdf,4,1,0,
6,Сертификат ТР Пожарная безопасность Cerberus Pro_Sinteso,26.10.2019,"GB,CN,FR,DE,IT,TW,CH,SE,CZ,FI,TR,SK,PH",Сертификат_ТР Пож. без-ть_Cerberus Pro_Sinteso_2014.pdf,4,1,0,1
7,Нотификация лицензионные ключи FS HVP,12.02.2025,"CH,DE,GB,CN,FR,TW,FI,IT,DK,кн,AT,HU,CZ,GR,ES,TR,PK,IL,IN,BE,SK,RO,MT,NO,TH,PH,NL,AU,JP,US,CA",Нотификация_лицензионные ключи_FS_HVP_2015.pdf,7,0,0,
8,Декларация соответствия Датчики ЭМС,18.04.2020,"CH,CN,DE,RO,IT,SE,GB,AT,FR,NL,ID,AU",ДС_Датчики_ЭМС_2017.pdf,3,0,0,0
9,Нотификация DMS8000,13.03.2024,"CH,DE,US,SE,CN,PL,TW,FI,IT,FR,GB,DK,кн,AT,HU,CZ,GR,ES,TR,PK,IL,IN,CA,AR,MX,CO,BR,BE,JP,SK,RO,MT,NO,TH,PH,NL,AU",Нотификация_Сименс_ММ8xxx_MK8xxx_WW8xxx_NK8xxx_DF8xxx_NH8xxx_2014.pdf,7,0,0,1
13,Пож безопасность ECO + прочее,21.09.2021,"CH,CN,GB",Сертификат_ТР Пож. без-ть_2016_цвет.pdf,4,0,0,1
